id,title,artist,language,duration,release_date,isrc,upc,repertoire_owner,link,publishing_details,version,created_at,updated_at,remark,type,master_recording_details
003a4fe9-036d-4253-83ec-d1c690021891,JANGAN TANYA,"[""Akkimwaru""]",Malay,"2' 42""",2021-11-11,,,,https://soundcloud.com/user-342407375/akkimwaru-jangan-tanya,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
00d305c5-e0da-4433-94cb-247c80dfc0df,Bukan Aku,"[""maatjet""]",Malay,"2' 13""",,MYSZ32310048,,,,"{""roles"":[{""role"":""C"",""publisher"":""TAJA ARCHIVE"",""percentage"":""50.00%"",""songwriter"":""Izzad Daniell bin Sarip""},{""role"":""A"",""publisher"":""TAJA ARCHIVE"",""percentage"":""50.00%"",""songwriter"":""Izzad Daniell bin Sarip""}]}",,2025-01-04 14:43:11.881262+00,2025-01-04 14:43:11.881262+00,,Original,"{""upc"":"""",""isrc"":""MYSZ32310048"",""version"":""Audio"",""repertoireOwner"":""Izzad Daniell Bin Sarip""}"
01dac5d3-04d6-49bd-b6f3-9bba57d017bc,OUTRO,"[""GARD WUZGUT""]",English,"1'32""",2020-01-04,N/A,N/A,,,"{""roles"":[{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""BAQHTEAR RASHID""},{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""SHAZRUL REJAB""}]}",,2025-01-04 14:34:20.849808+00,2025-01-04 14:34:20.849808+00,,Original,"{""upc"":""N/A"",""isrc"":""N/A"",""version"":""AUDIO"",""repertoireOwner"":""BAQHTEAR RASHID/SHAZRUL REJAB""}"
02257469-141d-4feb-83e9-de0624233fc3,RETAKK SERIBUU,"[""Akkimwaru""]",Malay,"1' 49""",2023-06-05,,,,https://soundcloud.com/user-342407375/retakk-seribuu,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
046f1f22-7559-4a32-b3a8-0b3bace895ce,FLYY,"[""Akkimwaru""]",Malay,"2'45""",2024-06-29,MYSZ3 24 10020,,,,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":""MYSZ3 24 10020"",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
04bed92f-ce73-4981-9d4d-5a3527e12445,JCKTA,"[""JAYSTATION""]",Malay,3:48,2020-06-19,SE6132044381,,,https://www.youtube.com/watch?v=5zHA7rQYDfM,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Naim bin Mohamad Fauzi""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Naim bin Mohamad Fauzi""}]}",,2025-01-04 14:40:09.643474+00,2025-01-04 14:40:09.643474+00,,Original,"{""upc"":"""",""isrc"":""SE6132044381"",""version"":""Audio"",""repertoireOwner"":""Naim Bin Muhamad Fauzi""}"
0503bbf6-a371-43cf-9430-57799d862581,YUNG MALAY,"[""Quai""]",Malay,"2'28""",2020-05-24,SE6I32004983,,,https://www.youtube.com/watch?v=4LK5u61wHxk,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Quai""},{""role"":""A"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""25.00%"",""songwriter"":""Izhar""}]}",,2025-01-04 15:05:15.378294+00,2025-01-04 15:05:15.378294+00,,Original,"{""upc"":"""",""isrc"":""SE6I32004983"",""version"":""AUDIO"",""repertoireOwner"":""Ikhmal Danial Bin Helme Iskandar""}"
05202504-6b59-4d8d-8ee8-7f5dd6fb17f5,TANYE,"[""GARD WUZGUT""]",Malay,"2'55""",0202-06-18,N/A,N/A,,,"{""roles"":[{""role"":""CA"",""publisher"":""MUHAMMAD HAKIIM BIN TAHIR"",""percentage"":""20.00%"",""songwriter"":""MUHAMMAD HAKIIM BIN TAHIR""},{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""30.00%"",""songwriter"":""SHAZRUL REJAB""},{""role"":""SE"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""30.00%""},{""role"":""SE"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""20.00%""}]}",,2025-01-04 14:36:56.348307+00,2025-01-04 14:36:56.348307+00,,Original,"{""upc"":""N/A"",""isrc"":""N/A"",""version"":""AUDIO"",""repertoireOwner"":""SHAZRUL REJAB""}"
058cb4ce-1dc3-4549-b0dd-6d0d1c8b9bbb,Tak Nak Tunggu,"[""Nobi""]",Malay,,2024-09-28,MYSZ3 24 10034,,,https://www.youtube.com/watch?v=E2xDDi1LIUY,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Amirul Asrar bin Mazlan""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Johnasa""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Amirul Asrar bin Mazlan""}]}",,2025-01-04 14:46:46.538938+00,2025-01-04 14:46:46.538938+00,,Original,"{""upc"":"""",""isrc"":""MYSZ3 24 10034"",""version"":""Audio"",""repertoireOwner"":""Amirul Asrar bin Mazlan""}"
0659bc4e-fccc-46a2-9731-f83b37fb0c1a,CHK PT 2,"[""Akkimwaru""]",Malay,"2' 27""",2023-11-19,,,,https://soundcloud.com/user-342407375/chk-pt-2,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
